wolf_ID,capture_date,collar_recovery_death,end_date,Month,Day,Year,last_contact,days_to_inact,days_to_death,days_to_fate,fate,fate_num,Anthro_Natural,min_days_inact_death,collar_status,dissap_event,cause_death,poached,unknown,legal,nonhuman,collision,poa_type,known_fate,death_event,FU_poached,FU_Unk_poa,hunt_season,sex,breeder_disp,age_at_death_year,age_at_death_days,age_at_dissap,age_at_collar,collar expected to quit,wolf_year,Comments
12022,17-Feb-14,25-Dec-15,25-Dec-15,12,25,2015,,,676,676,unknown,3,,,,0,unknown,0,1,0,0,0,,0,1,,1,1,M,,2.690410959,982,,,,2015-16,
12024,31-Dec-13,14-Aug-14,14-Aug-14,8,14,2014,,,226,226,collision,6,1,,,0,collision,0,0,0,0,1,,1,1,,,0,F,,1.317808219,481,,,,2013-14,
12025,4-Feb-14,31-Oct-15,31-Oct-15,10,31,2015,,,634,634,poached,2,1,,,0,poached,1,0,0,0,0,gunshot,1,1,2,2,1,M,,2.534246575,925,,,,2015-16,
12026,4-Feb-14,17-Jun-14,17-Jun-14,6,17,2014,,,133,133,collision,6,1,,,0,collision,0,0,0,0,1,,1,1,,,0,M,,1.161643836,424,,,,2013-14,
12028,4-Feb-14,27-May-17,27-May-17,5,27,2017,,,1208,1208,unknown,3,,,,0,unknown,0,1,0,0,0,,0,1,,1,0,M,,4.106849315,1499,,,,2016-17,
12030,4-Feb-14,,1-Oct-16,10,1,2016,1-Oct-16,970,,970,fu,1,,,inactive,1,,0,0,0,0,0,,0,,1,1,1,F,0,,,1261,,,2016-17,
12035,3-Dec-13,,20-Mar-14,3,20,2014,20-Mar-14,107,,107,fu,1,,,inactive,1,,0,0,0,0,0,,0,,1,1,0,F,0,,,333,,,2013-14,
12042,13-Feb-15,8-Aug-16,8-Aug-16,8,8,2016,,,542,542,collision,6,1,,,0,collision,0,0,0,0,1,,1,1,,,0,F,,3.295890411,1203,,,,2015-16,
12043,13-Feb-15,,9-Mar-17,3,9,2017,9-Mar-17,755,,755,fu,1,,,inactive,1,,0,0,0,0,0,,0,,1,1,0,F,0,,,1416,,,2016-17,
12085,7-Nov-14,24-Jan-15,24-Jan-15,1,24,2015,,,78,78,poached,2,1,,,0,poached,1,0,0,0,0,trap,1,1,2,2,1,F,,0.783561644,286,,,,2014-15,
12129,1-May-17,17-Nov-17,17-Nov-17,11,17,2017,,,200,200,collision,6,1,,,0,collision,0,0,0,0,1,,1,1,,,1,M,,2.550684932,931,,,,2017-18,
12182,17-Feb-18,2-Jan-19,2-Jan-19,1,2,2019,,,319,319,collision,6,1,,,0,collision,0,0,0,0,1,,1,1,,,1,F,,2.736986301,999,,,,2018-19,
12194,4-Feb-17,21-Apr-19,21-Apr-19,4,21,2019,,,806,806,collision,6,1,,,0,collision,0,0,0,0,1,,1,1,,,0,F,,unknown,,,,,2018-19,
12196,2-Feb-17,11-Feb-17,11-Feb-17,2,11,2017,,,9,9,poached,2,1,,,0,poached,1,0,0,0,0,gunshot,1,1,2,2,0,M,,UNKNOWN,,,,,2016-17,
12226,28-Jan-18,7-Aug-20,7-Aug-20,8,7,2020,,,922,922,poached,2,1,,,0,poached,1,0,0,0,0,gunshot,1,1,2,2,0,F,,3.306849315,1207,,,,2019-20,
12227,19-Feb-18,8-Jul-18,8-Jul-18,7,8,2018,,,139,139,collision,6,1,,,0,collision,0,0,0,0,1,,1,1,,,0,F,,1.221917808,446,,,,2017-18,
12228,28-Jan-18,6-Apr-20,6-Apr-20,4,6,2020,,,799,799,poached,2,1,,,0,poached,1,0,0,0,0,gunshot,1,1,2,2,0,M,,3.934246575,1436,,,,2019-20,
12281,27-Feb-18,,17-Mar-19,3,17,2019,17-Mar-19,383,,383,fu,1,,,inactive,1,,0,0,0,0,0,,0,,1,1,0,F,,,,,,,2018-19,
